identifier,creator,date,title,subjects,description,location,physical_description,language,file_type,source_collection,rights,image_url
//hdl.loc.gov/loc.pnp/cph.3b41963,Not found,1916-01-01,"Carnegie Library, Cordele, Georgia","cordele, georgia, libraries, photographic prints","1 photographic print. | Photo shows a group of children posed on and in front of steps, roof and dome draped with stars and stripes banners. A Carnegie grant for $10,000 in 1903 funded this building, with an  additional $7,556 in 1916 for remodeling. Still used as a public library.","Georgia, Cordele","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b41000/3b41900/3b41963r.jpg#h=515&w=640
//hdl.loc.gov/loc.pnp/cph.3b43255,Dwight Mabel 1876-1955,1939-01-01,Silence / Mabel Dwight.,"lithographs, reading, reading rooms",1 print : lithograph. | Group of people reading in library.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"fine prints, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For more information, see Federal Art Project (FAP) Prints  - Rights and Restrictions Information http://hdl.loc.gov/loc.pnp/res.750.fap",https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b43000/3b43200/3b43255r.jpg#h=422&w=640
//hdl.loc.gov/loc.pnp/cph.3c18157,Not found,1909-01-01,"Carnegie Library, Sheldon, Iowa","iowa, libraries, photographic prints, sheldon","1 photographic print. | Exterior of library, with six people on steps.","Sheldon, Iowa","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",Undetermined,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c18000/3c18100/3c18157r.jpg#h=515&w=640
//hdl.loc.gov/loc.pnp/cph.3f05168,Federal Art Project,1936-01-01,"Curb service 10,000 current books - convenient, free, time saving : Chicago Public Library, Randolph St. corridor.","bookmobiles, chicago, chicago public library, color, illinois, libraries, posters, public relations, screen prints","1 print on board (poster) : silkscreen, color. | Poster for bookmobile service of the Chicago Public Library, showing a traffic light.","Chicago, Illinois","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"by the people, for the people: posters from the wpa, 1936-1943, posters: wpa posters, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05168r.jpg#h=640&w=443
//hdl.loc.gov/loc.pnp/cph.3f05183,Federal Art Project,1936-01-01,For greater knowledge on more subjects use your library more often,"chicago, color, education, illinois, libraries, posters, screen prints","1 print on board (poster) : silkscreen, color. | Poster showing a mortarboard and a pair of glasses superimposed over a globe, promoting use of libraries.","Chicago, Illinois","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"by the people, for the people: posters from the wpa, 1936-1943, posters: wpa posters, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183r.jpg#h=640&w=440
//hdl.loc.gov/loc.pnp/det.4a17925,Detroit Publishing Co.,1906-01-01,"[Cossitt Library, Memphis, Tenn.]","dry plate negatives, libraries, memphis, tennessee, united states",1 negative : glass ; 8 x 10 in.,"United states, Tennessee, Memphis","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"detroit publishing company, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a17000/4a17900/4a17925r.jpg#h=509&w=640
//hdl.loc.gov/loc.pnp/det.4a23603,Detroit Publishing Co.,1905-01-01,"Little Rock Public Library, Little Rock, Ark.","arkansas, dry plate negatives, libraries, little rock, united states",1 negative : glass ; 8 x 10 in.,"Arkansas, United states, Little rock","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"detroit publishing company, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a23000/4a23600/4a23603r.jpg#h=512&w=640
//hdl.loc.gov/loc.pnp/ds.06507,Handy Levin C. (Levin Corbin),1900-01-01,"Buffalo, N.Y. -  Public library - children's room","buffalo, children, new york (state), photographic prints, public libraries, reading","1 photograph : gelatin silver print ; sheet 24 x 19 cm. | Photograph shows girls and boys reading in the children's room at the public library in Buffalo, New York.","New york, Buffalo","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 6437, miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06507v.jpg#h=826&w=1024
https://hdl.loc.gov/loc.pnp/ds.06560,Gilbert Cass 1859-1934,1921,Main public library building - Detroit,"advertisements, architectural photographs, berry brothers, buildings, carnegie libraries, collotypes, detroit, detroit public library, hand-colored, michigan, postcards, public libraries, public relations","1 photograph : hand-colored collotype ; sheet 14 x 21 cm. | Photograph shows view of Carnegie library in Detroit, Michigan.","Michigan, Detroit","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06560v.jpg#h=727&w=1024
//hdl.loc.gov/loc.pnp/fsa.8b14169,Vachon John 1914-1975,1938-01-01,"Newspaper reading room of public library. Omaha, Nebraska","douglas county, nebraska, omaha, safety film negatives, united states",1 negative : safety ; 3 1/4 x 4 1/4 inches or smaller.,"Nebraska, Omaha, United states, Douglas county","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 412, farm security administration/office of war information black-and-white negatives, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14100/8b14169r.jpg#h=489&w=640
