identifier,creator,date,title,subjects,description,location,physical_description,language,file_type,source_collection,rights,image_url
https://hdl.loc.gov/loc.afc/afc1991022.afc1991022_hh_002,Horenstein,1979-08-20,"Kids fishing, beach club, tetherball game, Bonnet Shores, Rhode Island","ethnography, folklore, photographs, rhode island",Not found,"United states, Narragansett, Rhode island","photo, print, drawing",eng,image/tiff; image/jpeg; image/jp2,"rhode island folklife project collection, american folklife center",Undetermined,https://tile.loc.gov/image-services/iiif/service:afc:afc1991022:afc1991022_hh_002:afc1991022_hh_002_02/full/pct:25/0/default.jpg#h=1261&w=870
https://hdl.loc.gov/loc.afc/afc1991022.afc1991022_tb_038,Burns,1979-09-03,"Tuna Derby, Galilee, Rhode Island","ethnography, folklore, photographs, rhode island",Not found,"Rhode island, United states, Galilee","photo, print, drawing",eng,image/tiff; image/jpeg; image/jp2,"rhode island folklife project collection, american folklife center",Undetermined,https://tile.loc.gov/image-services/iiif/service:afc:afc1991022:afc1991022_tb_038:afc1991022_tb_038_02/full/pct:25/0/default.jpg#h=856&w=1288
//hdl.loc.gov/loc.pnp/ds.15204,Curtis Edward S. 1868-1952,1910-01-01,"The fisherman--Wishham (i.e., Wishram)","fishing, fishing nets, indians of north america, photographic prints, rivers, subsistence activities, tlakluit indians, washington (state)","Tlakluit Indian, standing on rock, fishing with dip net.",Washington,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 12326, curtis (edward s.) collection, prints & photographs online catalog (library of congress), prints and photographs division, catalog",['No known restrictions on publication. No renewal in Copyright office.'],https://tile.loc.gov/storage-services/service/pnp/ds/15200/15204v.jpg#h=1024&w=771
//hdl.loc.gov/loc.pnp/cph.3a49776,Not found,1575-01-01,[A Monstrous Fish],Not found,1 print : engraving.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3a40000/3a49000/3a49700/3a49776r.jpg#h=640&w=410
//hdl.loc.gov/loc.pnp/ds.15146,Not found,1903-01-01,"Edward Llewellen with the World's Record Black Sea Bass, which he caught, (425 lbs.), time 41 min., at Catalina Island, Calif., Aug. 26, 1903","california, fish, fishing, photographic prints, santa catalina island","H354 U.S. Copyright Office Title transcribed and devised by Library staff. Photo by Ironmonger, Avalon, Calif. Caption on verso: The world's record black sea bass caught by Edward LLewellyn, 24 stran line, Arthur Wood, boatman. Catalina Island, Aug. 26th, 1903.","Santa catalina island, California","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",['No known restrictions on publication.'],https://tile.loc.gov/storage-services/service/pnp/ds/15100/15146v.jpg#h=1024&w=649
//hdl.loc.gov/loc.pnp/cph.3b03958,Not found,1906-01-01,George Washington's Fishing Tackle,Not found,"1 photographic print. | Fish hooks, line, and hook container.",Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b00000/3b03000/3b03900/3b03958r.jpg#h=394&w=640
//hdl.loc.gov/loc.pnp/cph.3b42820,Not found,1922-01-01,"The ""Hooch hound"" in action","dogs, fishing, photographic prints, potomac river, prohibition","1 photographic print. | Man seated on pier, with pipe in his mouth, fishing on the Potomac River, as dog trained to detect liquor takes a bottle from his back pocket.",Potomac river,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 12294, national photo company collection, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b42000/3b42800/3b42820r.jpg#h=454&w=640
https://hdl.loc.gov/loc.pnp/ds.16750,Muchley Robert,1936,Visit the aquarium in Fairmount Park,"advertisements, aquariums, color, fairmount park (philadelphia, pa.), fish, pennsylvania, philadelphia, posters, woodcuts","1 print (poster) : woodcut, color. | Poster promoting the aquarium in Fairmount Park as a place to visit, showing fish.","Pennsylvania, Philadelphia, Fairmount park","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"by the people, for the people: posters from the wpa, 1936-1943, posters: wpa posters, american memory, prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/16700/16750v.jpg#h=1024&w=833
https://hdl.loc.gov/loc.pnp/cph.3c28076,Gottscho Samuel H. (Samuel Herman) 1875-1971,1919-01-01,"Reference prints, 1919-1920, numbers 2133-2377. Doris Gottscho, holding fish and fishing pole, sitting on a fence III","gelatin silver prints, portrait photographs, united states",2 photographic prints on album page : gelatin silver.,United states,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 12821, gottscho-schleisner collection, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For information, see: ""Gottscho-Schleisner Collection""  https://hdl.loc.gov/loc.pnp/res.104.gott",https://tile.loc.gov/storage-services/service/pnp/cph/3c20000/3c28000/3c28000/3c28076r.jpg#h=640&w=515
//hdl.loc.gov/loc.pnp/det.4a12198,Detroit Publishing Co.,1900-01-01,A Cape Ann fisherman mending his nets,"dry plate negatives, fishing nets, gloucester, massachusetts, united states",1 negative : glass ; 8 x 10 in.,"Gloucester, Massachusetts, United states","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"detroit publishing company, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a12000/4a12100/4a12198r.jpg#h=640&w=517
//hdl.loc.gov/loc.pnp/det.4a26655,Detroit Publishing Co.,1900-01-01,[Man and boy fishing by shore],"children & adults, dry plate negatives, fishing, reproductions",1 negative : glass ; 8 x 10 in.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"detroit publishing company, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a26000/4a26600/4a26655r.jpg#h=504&w=640
https://hdl.loc.gov/loc.pnp/det.4a31696,Detroit Publishing Co.,1901,"Indians fishing at the ""Soo""","color, fishing, indians of north america, michigan, photochrom prints, saint marys river, sault sainte marie, united states","1 photomechanical print : photochrom, color.","Saint marys river, United states, Michigan, Sault sainte marie","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 12004, detroit publishing company, american memory, prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a30000/4a31000/4a31600/4a31696r.jpg#h=332&w=640
