image,link,title
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-1.jpg,/resource/ppmsca.01947/,"African American woman fishing at the Tidal Basin, Washington, D.C. Photo by Toni Frissell, 1957."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-2.jpg,/resource/det.4a31696/,"Native Americans fishing at the ""Soo,"" St. Mary's Rapids, Sault Ste. Marie. Color print, 1901.
"
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-3.jpg,/resource/fsa.8e03362/,"Boy fishing. Photo, 1936."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-4.jpg,/resource/pga.01210/,"Sponge Fishing. Color print, 1897."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-5.jpg,/resource/jpd.00505/,"River trout. Color woodcut by Hiroshige Andō, 1841-1844."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-6.jpg,/resource/mrg.07416/,"Big Fish Supper Club, Bena, Minnesota. Color photo by John Margolies, 1980."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-7.jpg,/resource/ppmsca.41730/,"Shad Fishing.  Fishers and Catch. Photo by Bain News Service, 1915."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-8.jpg,/resource/hec.07254/,"Net Fishing. Photo by Harris & Ewing, 1909-1923."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-9.jpg,/resource/pga.09354/,"Little White Kitties:  Fishing. Color print by Currier & Ives, 1871."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-10.jpg,/resource/ppmsca.59523/,"Fishing. Color print, 1905."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-11.jpg,/resource/ppmsc.05895/,"Oh, don't hurt me! cried Tom. I only want to look at you; you are so handsome. Watercolor by Jessie Willcox Smith, 1916, for The Water-Babies book."
/static/portals/free-to-use/public-domain/fish-and-fishing/fishing-12.jpg,/resource/ppmsca.44347/,"School and Family Charts ... Fishes. Color poster, 1890."
